"Date (TU)","Valeur (en l/s)","Statut","Qualification","Méthode","Continuité"
1971-01-01T00:00:00.000Z,"5450","16",12,10,1
1971-01-02T00:00:00.000Z,"5200","16",12,10,0
1971-01-03T00:00:00.000Z,"4890","16",12,10,0
1971-01-04T00:00:00.000Z,"4600","16",12,10,0
1971-01-05T00:00:00.000Z,"5750","16",12,10,0
1971-01-06T00:00:00.000Z,"5200","16",12,10,0
1971-01-07T00:00:00.000Z,"4890","16",12,10,0
1971-01-08T00:00:00.000Z,"4450","16",12,10,0
1971-01-09T00:00:00.000Z,"4120","16",12,10,0
1971-01-10T00:00:00.000Z,"3800","16",12,10,0
1971-01-11T00:00:00.000Z,"3500","16",12,10,0
1971-01-12T00:00:00.000Z,"3400","16",12,10,0
1971-01-13T00:00:00.000Z,"3240","16",12,10,0
1971-01-14T00:00:00.000Z,"3160","16",12,10,0
1971-01-15T00:00:00.000Z,"3000","16",12,10,0
1971-01-16T00:00:00.000Z,"2840","16",12,10,0
1971-01-17T00:00:00.000Z,"2840","16",12,10,0
1971-01-18T00:00:00.000Z,"2760","16",12,10,0
1971-01-19T00:00:00.000Z,"2840","16",12,10,0
1971-01-20T00:00:00.000Z,"3600","16",12,10,0
1971-01-21T00:00:00.000Z,"4960","16",12,10,0
1971-01-22T00:00:00.000Z,"8400","16",12,10,0
1971-01-23T00:00:00.000Z,"6100","16",12,10,0
1971-01-24T00:00:00.000Z,"5450","16",12,10,0
1971-01-25T00:00:00.000Z,"5450","16",12,10,0
1971-01-26T00:00:00.000Z,"5200","16",12,10,0
1971-01-27T00:00:00.000Z,"4890","16",12,10,0
1971-01-28T00:00:00.000Z,"4600","16",12,10,0
1971-01-29T00:00:00.000Z,"4230","16",12,10,0
1971-01-30T00:00:00.000Z,"4120","16",12,10,0
1971-01-31T00:00:00.000Z,"4120","16",12,10,0
1971-02-01T00:00:00.000Z,"7650","16",12,10,0
1971-02-02T00:00:00.000Z,"7800","16",12,10,0
1971-02-03T00:00:00.000Z,"6650","16",12,10,0
1971-02-04T00:00:00.000Z,"5900","16",12,10,0
1971-02-05T00:00:00.000Z,"5750","16",12,10,0
1971-02-06T00:00:00.000Z,"5600","16",12,10,0
1971-02-07T00:00:00.000Z,"5600","16",12,10,0
1971-02-08T00:00:00.000Z,"5600","16",12,10,0
1971-02-09T00:00:00.000Z,"6100","16",12,10,0
1971-02-10T00:00:00.000Z,"5600","16",12,10,0
