"Date (TU)","Valeur (en l/s)","Statut","Qualification","Méthode","Continuité"
1969-01-01T00:00:00.000Z,"19100","16",20,10,1
1969-01-02T00:00:00.000Z,"20700","16",20,10,0
1969-01-03T00:00:00.000Z,"21500","16",20,10,0
1969-01-04T00:00:00.000Z,"16500","16",20,10,0
1969-01-05T00:00:00.000Z,"16000","16",20,10,0
1969-01-06T00:00:00.000Z,"19600","16",20,10,0
1969-01-07T00:00:00.000Z,"23800","16",20,10,0
1969-01-08T00:00:00.000Z,"26900","16",20,10,0
1969-01-09T00:00:00.000Z,"25700","16",20,10,0
1969-01-10T00:00:00.000Z,"25700","16",20,10,0
1969-01-11T00:00:00.000Z,"20800","16",20,10,0
1969-01-12T00:00:00.000Z,"21600","16",20,10,0
1969-01-13T00:00:00.000Z,"43900","16",20,10,0
1969-01-14T00:00:00.000Z,"77700","16",20,10,0
1969-01-15T00:00:00.000Z,"53100","16",20,10,0
1969-01-16T00:00:00.000Z,"35600","16",20,10,0
1969-01-17T00:00:00.000Z,"29400","16",20,10,0
1969-01-18T00:00:00.000Z,"27600","16",20,10,0
1969-01-19T00:00:00.000Z,"26400","16",20,10,0
1969-01-20T00:00:00.000Z,"39000","16",20,10,0
1969-01-21T00:00:00.000Z,"40300","16",20,10,0
1969-01-22T00:00:00.000Z,"39400","16",20,10,0
1969-01-23T00:00:00.000Z,"38300","16",20,10,0
1969-01-24T00:00:00.000Z,"36300","16",20,10,0
1969-01-25T00:00:00.000Z,"28000","16",20,10,0
1969-01-26T00:00:00.000Z,"26500","16",20,10,0
1969-01-27T00:00:00.000Z,"25000","16",20,10,0
1969-01-28T00:00:00.000Z,"25400","16",20,10,0
1969-01-29T00:00:00.000Z,"25300","16",20,10,0
1969-01-30T00:00:00.000Z,"26500","16",20,10,0
1969-01-31T00:00:00.000Z,"26600","16",20,10,0
1969-02-01T00:00:00.000Z,"21800","16",20,10,0
1969-02-02T00:00:00.000Z,"26500","16",20,10,0
1969-02-03T00:00:00.000Z,"25600","16",20,10,0
1969-02-04T00:00:00.000Z,"24200","16",20,10,0
1969-02-05T00:00:00.000Z,"24000","16",20,10,0
1969-02-06T00:00:00.000Z,"23200","16",20,10,0
1969-02-07T00:00:00.000Z,"23400","16",20,10,0
1969-02-08T00:00:00.000Z,"23100","16",20,10,0
1969-02-09T00:00:00.000Z,"24100","16",20,10,0
1969-02-10T00:00:00.000Z,"29300","16",20,10,0
1969-02-11T00:00:00.000Z,"35700","16",20,10,0
1969-02-12T00:00:00.000Z,"31900","16",20,10,0
1969-02-13T00:00:00.000Z,"29100","16",20,10,0
1969-02-14T00:00:00.000Z,"23100","16",20,10,0
1969-02-15T00:00:00.000Z,"20600","16",20,10,0
1969-02-16T00:00:00.000Z,"20900","16",20,10,0
1969-02-17T00:00:00.000Z,"25300","16",20,10,0
1969-02-18T00:00:00.000Z,"26200","16",20,10,0
1969-02-19T00:00:00.000Z,"25000","16",20,10,0
1969-02-20T00:00:00.000Z,"34900","16",20,10,0
1969-02-21T00:00:00.000Z,"24600","16",20,10,0
1969-02-22T00:00:00.000Z,"27900","16",20,10,0
1969-02-23T00:00:00.000Z,"39900","16",20,10,0
1969-02-24T00:00:00.000Z,"70500","16",20,10,0
1969-02-25T00:00:00.000Z,"49600","16",20,10,0
1969-02-26T00:00:00.000Z,"36400","16",20,10,0
1969-02-27T00:00:00.000Z,"32500","16",20,10,0
1969-02-28T00:00:00.000Z,"32000","16",20,10,0
1969-03-01T00:00:00.000Z,"34400","16",20,10,0
1969-03-02T00:00:00.000Z,"29200","16",20,10,0
1969-03-03T00:00:00.000Z,"31700","16",20,10,0
1969-03-04T00:00:00.000Z,"34300","16",20,10,0
1969-03-05T00:00:00.000Z,"41900","16",20,10,0
1969-03-06T00:00:00.000Z,"40700","16",20,10,0
1969-03-07T00:00:00.000Z,"39100","16",20,10,0
1969-03-08T00:00:00.000Z,"39100","16",20,10,0
1969-03-09T00:00:00.000Z,"33600","16",20,10,0
1969-03-10T00:00:00.000Z,"32000","16",20,10,0
1969-03-11T00:00:00.000Z,"26200","16",20,10,0
1969-03-12T00:00:00.000Z,"29200","16",20,10,0
1969-03-13T00:00:00.000Z,"35100","16",20,10,0
1969-03-14T00:00:00.000Z,"61500","16",20,10,0
1969-03-15T00:00:00.000Z,"63900","16",20,10,0
1969-03-16T00:00:00.000Z,"63000","16",20,10,0
1969-03-17T00:00:00.000Z,"57500","16",20,10,0
1969-03-18T00:00:00.000Z,"55700","16",20,10,0
1969-03-19T00:00:00.000Z,"54100","16",20,10,0
1969-03-20T00:00:00.000Z,"54200","16",20,10,0
1969-03-21T00:00:00.000Z,"50800","16",20,10,0
1969-03-22T00:00:00.000Z,"48500","16",20,10,0
1969-03-23T00:00:00.000Z,"47400","16",20,10,0
1969-03-24T00:00:00.000Z,"45900","16",20,10,0
1969-03-25T00:00:00.000Z,"47400","16",20,10,0
1969-03-26T00:00:00.000Z,"40300","16",20,10,0
1969-03-27T00:00:00.000Z,"37300","16",20,10,0
1969-03-28T00:00:00.000Z,"36300","16",20,10,0
1969-03-29T00:00:00.000Z,"36500","16",20,10,0
1969-03-30T00:00:00.000Z,"36500","16",20,10,0
1969-03-31T00:00:00.000Z,"34800","16",20,10,0
1969-04-01T00:00:00.000Z,"33700","16",20,10,0
1969-04-02T00:00:00.000Z,"32300","16",20,10,0
1969-04-03T00:00:00.000Z,"29400","16",20,10,0
1969-04-04T00:00:00.000Z,"27900","16",20,10,0
1969-04-05T00:00:00.000Z,"33100","16",20,10,0
1969-04-06T00:00:00.000Z,"34900","16",20,10,0
1969-04-07T00:00:00.000Z,"32700","16",20,10,0
1969-04-08T00:00:00.000Z,"31100","16",20,10,0
1969-04-09T00:00:00.000Z,"32800","16",20,10,0
1969-04-10T00:00:00.000Z,"32700","16",20,10,0
1969-04-11T00:00:00.000Z,"35300","16",20,10,0
1969-04-12T00:00:00.000Z,"35400","16",20,10,0
1969-04-13T00:00:00.000Z,"35800","16",20,10,0
1969-04-14T00:00:00.000Z,"38200","16",20,10,0
1969-04-15T00:00:00.000Z,"39400","16",20,10,0
1969-04-16T00:00:00.000Z,"41600","16",20,10,0
1969-04-17T00:00:00.000Z,"42700","16",20,10,0
1969-04-18T00:00:00.000Z,"41500","16",20,10,0
1969-04-19T00:00:00.000Z,"41600","16",20,10,0
1969-04-20T00:00:00.000Z,"40800","16",20,10,0
1969-04-21T00:00:00.000Z,"41300","16",20,10,0
1969-04-22T00:00:00.000Z,"42600","16",20,10,0
1969-04-23T00:00:00.000Z,"41000","16",20,10,0
1969-04-24T00:00:00.000Z,"32700","16",20,10,0
1969-04-25T00:00:00.000Z,"30100","16",20,10,0
1969-04-26T00:00:00.000Z,"30100","16",20,10,0
1969-04-27T00:00:00.000Z,"29900","16",20,10,0
1969-04-28T00:00:00.000Z,"29000","16",20,10,0
1969-04-29T00:00:00.000Z,"36100","16",20,10,0
1969-04-30T00:00:00.000Z,"40500","16",20,10,0
1969-05-01T00:00:00.000Z,"39200","16",20,10,0
1969-05-02T00:00:00.000Z,"39800","16",20,10,0
1969-05-03T00:00:00.000Z,"48000","16",20,10,0
1969-05-04T00:00:00.000Z,"50200","16",20,10,0
1969-05-05T00:00:00.000Z,"44800","16",20,10,0
1969-05-06T00:00:00.000Z,"50100","16",20,10,0
1969-05-07T00:00:00.000Z,"55800","16",20,10,0
1969-05-08T00:00:00.000Z,"57100","16",20,10,0
1969-05-09T00:00:00.000Z,"56100","16",20,10,0
1969-05-10T00:00:00.000Z,"54800","16",20,10,0
1969-05-11T00:00:00.000Z,"54100","16",20,10,0
1969-05-12T00:00:00.000Z,"49300","16",20,10,0
1969-05-13T00:00:00.000Z,"52600","16",20,10,0
